id,r_date,company_name,sum,category_name,type_name,control_plan,name,supplier_name,vehicle_no,invoice_no,way_bill_no,quantity,price,qty_uom,status_accepted,status_rejected,status_not_attended,invoice_file,waybill_file
2,16-12-2023,MANTRI METALLICS PVT LTD,1,Others,others,,16L23B-BEFORE-GSC 670-22,,,,,,,Kg,,,Not Attended,,
9,27-12-2023,Alchemy Precision Cast Pvt Ltd,1,Others,CHALLAN/Invoice,,INV NO:123,,,,,,,Kg,,,Not Attended,,
10,27-12-2023,Alchemy Precision Cast Pvt Ltd,1,Scrap,MS Scrap,,MS scrap,,,,,10,35.5,Kg,Accepted,,,,
11,01-01-2024,Alchemy Precision Cast Pvt Ltd,1,Others,CHALLAN/Invoice,,INVNO:234,,,,,,,Kg,,,Not Attended,,
12,01-01-2024,Alchemy Precision Cast Pvt Ltd,1,Others,CHALLAN/Invoice,,INVNO:234,,,,,,,Kg,,,Not Attended,,
13,02-01-2024,Alchemy Precision Cast Pvt Ltd,1,Scrap,SS Scrap,,SS 316,,,,,1,225,Kg,Accepted,,,,
14,03-01-2024,Alchemy Precision Cast Pvt Ltd,1,Scrap,MS Scrap,,Ss 310,,,,,1.504,310,Kg,Accepted,,,,
17,04-01-2024,MANTRI METALLICS PVT LTD,1,Others,CRCA,,CRCA 04A24A,,,,,,,Kg,,,Not Attended,,
18,04-01-2024,MANTRI METALLICS PVT LTD,1,Others,Boaring,,SG BOARING-04A24,MANTRI METALLICS UNIT 1,,,,,,Kg,,,Not Attended,,
19,04-01-2024,MANTRI METALLICS PVT LTD,1,Others,Boaring,,SG BOARING-04A24B,SAHARA UNIT 3,,,,,,Kg,,,Not Attended,,
20,05-01-2024,MANTRI METALLICS PVT LTD,1,Others,Boaring,,SG BOARING-05A24,,,,,,,Kg,,,Not Attended,,
21,05-01-2024,MANTRI METALLICS PVT LTD,1,Others,SG BORING,,SG BORING,VARSHA INDUSTRIES,,,,,,Kg,,,Not Attended,,
22,06-01-2024,Alchemy Precision Cast Pvt Ltd,1,Scrap,MS Scrap,,INVNO:15914,,,,,,370,Kg,Accepted,,,,
